Date,TimeBarStart,Ticker,CallPut,Strike,ExpirationDate,OpenTradePrice,HighTradePrice,LowTradePrice,CloseTradePrice,UnderOpenBidPrice,UnderOpenAskPrice,UnderCloseBidPrice,UnderCloseAskPrice,VWAP,Volume,TotalTrades
20200129,09:30,TSLA,P,475.0000,20200619,33.7100,33.7100,33.7100,33.7100,575.60,576.00,575.60,576.00,33.7100,10,1
20200129,09:30,TSLA,P,160.0000,20200619,0.7900,0.7900,0.7900,0.7900,572.13,572.38,572.13,572.38,0.7900,1,1
20200129,09:30,TSLA,P,500.0000,20200619,42.2800,42.2800,42.2800,42.2800,573.78,574.82,573.78,574.82,42.2800,1,1
20200129,09:30,TSLA,C,650.0000,20200619,49.8100,49.8700,49.8100,49.8700,572.74,573.48,572.94,573.48,49.8400,20,2
20200129,09:30,TSLA,C,765.0000,20200619,25.1800,25.1800,25.1800,25.1800,574.00,574.84,574.00,574.84,25.1800,2,1
20200129,09:30,TSLA,C,570.0000,20200619,81.1000,81.1000,81.1000,81.1000,575.60,576.00,575.60,576.00,81.1000,1,1
20200129,09:30,TSLA,C,690.0000,20200619,39.5500,39.5500,39.5500,39.5500,574.12,575.03,574.12,575.03,39.5500,5,2
20200129,09:30,TSLA,C,750.0000,20200619,27.7000,27.7000,27.7000,27.7000,574.01,574.84,574.01,574.84,27.7000,6,2
20200129,09:30,TSLA,C,775.0000,20200619,23.4900,23.6800,23.4900,23.6800,575.50,576.00,574.00,574.84,23.6167,3,2
20200129,09:30,TSLA,C,700.0000,20200619,37.8900,37.9000,36.8000,37.1500,575.50,576.00,572.94,573.50,37.2685,13,4
20200129,09:30,TSLA,C,450.0000,20200619,153.0000,153.0000,153.0000,153.0000,575.50,576.00,575.50,576.00,153.0000,2,1
20200129,09:30,TSLA,C,480.0000,20200619,132.0000,132.0000,132.0000,132.0000,575.50,576.00,575.50,576.00,132.0000,1,1
20200129,09:30,TSLA,C,800.0000,20200619,20.0000,20.0000,20.0000,20.0000,573.80,574.00,572.00,572.14,20.0000,20,5
20200129,09:31,TSLA,P,300.0000,20200619,4.7500,4.7500,4.7500,4.7500,573.78,574.99,573.78,574.99,4.7500,1,1
20200129,09:31,TSLA,C,890.0000,20200619,12.2800,12.2800,12.2800,12.2800,573.82,574.96,573.82,574.96,12.2800,1,1
20200129,09:31,TSLA,C,725.0000,20200619,32.1800,32.1800,32.1800,32.1800,574.02,574.84,574.02,574.84,32.1800,1,1
20200129,09:31,TSLA,C,1000.0000,20200619,7.2600,7.2600,7.2600,7.2600,575.00,575.92,575.00,575.92,7.2600,20,3
20200129,09:31,TSLA,C,775.0000,20200619,24.0000,24.0000,24.0000,24.0000,573.73,574.84,573.73,574.84,24.0000,40,1
20200129,09:31,TSLA,C,600.0000,20200619,69.0000,69.0000,69.0000,69.0000,575.00,576.00,575.00,576.00,69.0000,1,1
20200129,09:31,TSLA,C,480.0000,20200619,132.0000,132.0000,132.0000,132.0000,575.01,575.44,575.01,575.44,132.0000,6,1
20200129,09:31,TSLA,C,660.0000,20200619,48.1500,48.1500,48.1500,48.1500,575.31,576.00,575.31,576.00,48.1500,2,1
20200129,09:31,TSLA,C,900.0000,20200619,11.8200,11.8200,11.7500,11.7500,575.53,576.00,573.78,574.86,11.8136,11,2
20200129,09:32,TSLA,P,570.0000,20200619,74.3600,74.3600,74.3600,74.3600,572.71,573.59,572.71,573.59,74.3600,1,1
